Scheme Name/Area,Lat,Long
TAMAN LESUNG BATU EMAS,2.38275893,102.2423797
TAMAN LESUNG BATU EMAS,2.38275893,102.2423797
TAMAN LESUNG BATU EMAS,2.38275893,102.2423797
TAMAN LESUNG BATU IMPIAN,2.37967791,102.237484
TAMAN LESUNG BATU IMPIAN,2.37967791,102.237484
TAMAN LESUNG BATU IMPIAN,2.37967791,102.237484
TAMAN LESUNG BATU IMPIAN,2.37967791,102.237484
TAMAN LESUNG BATU IMPIAN,2.37967791,102.237484
TAMAN LESUNG BATU IMPIAN,2.37967791,102.237484
TAMAN LESUNG BATU IMPIAN,2.37967791,102.237484
TAMAN LESUNG BATU IMPIAN,2.37967791,102.237484
TAMAN LESUNG BATU IMPIAN,2.37967791,102.237484
TAMAN LESUNG BATU IMPIAN,2.37967791,102.237484
TAMAN LESUNG BATU IMPIAN,2.37967791,102.237484
TAMAN LESUNG BATU IMPIAN,2.37967791,102.237484
TAMAN LESUNG BATU IMPIAN,2.37967791,102.237484
TAMAN LESUNG BATU IMPIAN,2.37967791,102.237484
TAMAN LESUNG BATU IMPIAN,2.37967791,102.237484
TAMAN LESUNG BATU IMPIAN,2.37967791,102.237484
TAMAN LESUNG BATU IMPIAN,2.37967791,102.237484
TAMAN LESUNG BATU IMPIAN,2.37967791,102.237484
TAMAN LESUNG BATU IMPIAN,2.37967791,102.237484
TAMAN LESUNG BATU IMPIAN,2.37967791,102.237484
TAMAN LESUNG BATU IMPIAN,2.37967791,102.237484
TAMAN LESUNG BATU IMPIAN,2.37967791,102.237484
TAMAN LESUNG BATU IMPIAN,2.37967791,102.237484
TAMAN LESUNG BATU IMPIAN,2.37967791,102.237484
TAMAN LESUNG BATU IMPIAN,2.37967791,102.237484
TAMAN MELAKA PERDANA,2.26638244,102.3065969
TAMAN PENGKALAN INDAH,2.373869696,102.2250703
TAMAN PENGKALAN INDAH,2.373869696,102.2250703
TAMAN PENGKALAN INDAH,2.373869696,102.2250703
TAMAN PEGOH DAMAI,2.421998444,102.1939105
TAMAN PEGOH DAMAI,2.421998444,102.1939105
TAMAN PEGOH DAMAI,2.421998444,102.1939105
TAMAN PEGOH DAMAI,2.421998444,102.1939105
TAMAN PEGOH DAMAI,2.421998444,102.1939105
TAMAN PEGOH DAMAI,2.421998444,102.1939105
TAMAN PEGOH DAMAI,2.421998444,102.1939105
TAMAN DESA IDAMAN,2.31073802,102.2803167
TAMAN DESA IDAMAN,2.31073802,102.2803167
TAMAN WIRA INDAH,2.45514431,102.0706282
RESIDENSI PR1MA PULAU SEBANG,2.467249143,102.2060648
RESIDENSI PR1MA PULAU SEBANG,2.467249143,102.2060648
RESIDENSI PR1MA PULAU SEBANG,2.467249143,102.2060648
RESIDENSI PR1MA PULAU SEBANG,2.467249143,102.2060648
RESIDENSI PR1MA PULAU SEBANG,2.467249143,102.2060648
RESIDENSI PR1MA PULAU SEBANG,2.467249143,102.2060648
RESIDENSI PR1MA PULAU SEBANG,2.467249143,102.2060648
RESIDENSI PR1MA PULAU SEBANG,2.467249143,102.2060648
RESIDENSI PR1MA PULAU SEBANG,2.467249143,102.2060648
RESIDENSI PR1MA PULAU SEBANG,2.467249143,102.2060648
RESIDENSI PR1MA PULAU SEBANG,2.467249143,102.2060648
RESIDENSI PR1MA PULAU SEBANG,2.467249143,102.2060648
RESIDENSI PR1MA PULAU SEBANG,2.467249143,102.2060648
RESIDENSI PR1MA PULAU SEBANG,2.467249143,102.2060648
TAMAN BAIDURI,2.461321581,102.2247364
TAMAN BAIDURI,2.461321581,102.2247364
TAMAN BAIDURI,2.461321581,102.2247364
TAMAN BAIDURI,2.461321581,102.2247364
TAMAN BAIDURI,2.461321581,102.2247364
TAMAN BKT TAMPIN,2.46440983,102.2217638
TAMAN BKT TAMPIN,2.46440983,102.2217638
TAMAN MAHSURI PULAU SEBANG,2.45458752,102.2296043
TAMAN PINGGIRAN KUALA INA,2.460334079,102.2185169
TAMAN PINGGIRAN KUALA INA,2.460334079,102.2185169
TAMAN PINGGIRAN KUALA INA,2.460334079,102.2185169
TAMAN PINGGIRAN KUALA INA,2.460334079,102.2185169
TAMAN PINGGIRAN KUALA INA,2.460334079,102.2185169
TAMAN PINGGIRAN KUALA INA,2.460334079,102.2185169
TAMAN PINGGIRAN KUALA INA,2.460334079,102.2185169
TAMAN PINGGIRAN KUALA INA,2.460334079,102.2185169
TAMAN PINGGIRAN KUALA INA,2.460334079,102.2185169
TAMAN PINGGIRAN KUALA INA,2.460334079,102.2185169
TAMAN PINGGIRAN KUALA INA,2.460334079,102.2185169
TAMAN PINGGIRAN KUALA INA,2.460334079,102.2185169
TAMAN PINGGIRAN KUALA INA,2.460334079,102.2185169
TAMAN PINGGIRAN KUALA INA,2.460334079,102.2185169
TAMAN PINGGIRAN KUALA INA,2.460334079,102.2185169
TAMAN PINGGIRAN KUALA INA,2.460334079,102.2185169
TAMAN PINGGIRAN KUALA INA,2.460334079,102.2185169
TAMAN SEBANG JAYA,2.460763982,102.2367208
TAMAN WIRA INDAH,2.455122872,102.0707247
TAMAN WIRA INDAH,2.455122872,102.0707247
TAMAN WIRA INDAH,2.455122872,102.0707247
TAMAN BKT REMBIA,2.33418475,102.2084279
TAMAN BKT REMBIA,2.33418475,102.2084279
TAMAN REMBIA PERKASA,2.324448458,102.2151897
TAMAN REMBIA PERKASA,2.324448458,102.2151897
TAMAN REMBIA PERKASA,2.324448458,102.2151897
TAMAN REMBIA PERKASA,2.324448458,102.2151897
TAMAN REMBIA PERKASA,2.324448458,102.2151897
TAMAN REMBIA PERKASA,2.324448458,102.2151897
TAMAN REMBIA PERKASA,2.324448458,102.2151897
TAMAN REMBIA PERKASA,2.324448458,102.2151897
TAMAN REMBIA PERKASA,2.324448458,102.2151897
TAMAN REMBIA PERKASA,2.324448458,102.2151897
TAMAN REMBIA PERKASA,2.324448458,102.2151897
TAMAN REMBIA UTAMA,2.328460349,102.2037287
TAMAN REMBIA UTAMA,2.328460349,102.2037287
TAMAN REMBIA UTAMA,2.328460349,102.2037287
TAMAN REMBIA UTAMA,2.328460349,102.2037287
TAMAN REMBIA UTAMA,2.328460349,102.2037287
TAMAN REMBIA UTAMA,2.328460349,102.2037287
TAMAN AYER MOLEK PERDANA,2.378914535,102.0374371
TAMAN AYER MOLEK PERDANA,2.378914535,102.0374371
TAMAN DESA BAYU,2.361441569,102.0480315
TAMAN DESA BAYU,2.361441569,102.0480315
TAMAN PAYA MENGKUANG,2.348114214,102.069641
TAMAN SERI GAMELAN,2.367090675,102.0546529
TAMAN SERI GAMELAN,2.367090675,102.0546529
TAMAN SERI GAMELAN,2.367090675,102.0546529
TAMAN SERI GAMELAN,2.367090675,102.0546529
TAMAN SERI GAMELAN,2.367090675,102.0546529
TAMAN SERI GAMELAN,2.367090675,102.0546529
TAMAN SERI GAMELAN,2.367090675,102.0546529
TAMAN SERI GAMELAN,2.367090675,102.0546529
TAMAN SERI GAMELAN,2.367090675,102.0546529
TAMAN SERI GAMELAN,2.367090675,102.0546529
TAMAN SERI GAMELAN,2.367090675,102.0546529
TAMAN SERI GAMELAN,2.367090675,102.0546529
TAMAN SERI GAMELAN,2.367090675,102.0546529
TAMAN SERI GAMELAN,2.367090675,102.0546529
TAMAN SERI GAMELAN,2.367090675,102.0546529
TAMAN SERI GAMELAN,2.367090675,102.0546529
TAMAN SERI GAMELAN,2.367090675,102.0546529
TAMAN SERI GAMELAN,2.367090675,102.0546529
TAMAN SERI GAMELAN,2.367090675,102.0546529
TAMAN SERI GAMELAN,2.367090675,102.0546529
TAMAN SERI GAMELAN,2.367090675,102.0546529
TAMAN SERI GAMELAN,2.367090675,102.0546529
TAMAN SERI GAMELAN,2.367090675,102.0546529
TAMAN SERI GAMELAN,2.367090675,102.0546529
TAMAN SERI GAMELAN,2.367090675,102.0546529
TAMAN SERI GAMELAN,2.367090675,102.0546529
TAMAN SERI GAMELAN,2.367090675,102.0546529
TAMAN SERI GAMELAN,2.367090675,102.0546529
TAMAN SERI GAMELAN,2.367090675,102.0546529
TAMAN SERI GAMELAN,2.367090675,102.0546529
TAMAN SERI GAMELAN,2.367090675,102.0546529
TAMAN SERI GAMELAN,2.367090675,102.0546529
TAMAN SERI GAMELAN,2.367090675,102.0546529
TAMAN SERI GAMELAN,2.367090675,102.0546529
TAMAN SERI GAMELAN,2.367090675,102.0546529
TAMAN SERI REDAN,2.36727803,102.0645892
TAMAN SERULING JAYA,2.39163785,102.080542
TAMAN SERULING JAYA,2.39163785,102.080542
TAMAN SERULING JAYA,2.39163785,102.080542
TAMAN SERULING JAYA,2.39163785,102.080542
TAMAN SERULING JAYA,2.39163785,102.080542
TAMAN SERULING JAYA,2.39163785,102.080542
TAMAN SERULING JAYA,2.39163785,102.080542
TAMAN SERULING JAYA,2.39163785,102.080542
TAMAN SERULING JAYA,2.39163785,102.080542
TAMAN SERULING JAYA,2.39163785,102.080542
TAMAN SERULING JAYA,2.39163785,102.080542
TAMAN SERULING JAYA,2.39163785,102.080542
TAMAN SERULING JAYA,2.39163785,102.080542
TAMAN SERULING JAYA,2.39163785,102.080542
TAMAN SERULING JAYA,2.39163785,102.080542
TAMAN SERULING JAYA,2.39163785,102.080542
TAMAN SERULING JAYA,2.39163785,102.080542
TAMAN SERULING JAYA,2.39163785,102.080542
TAMAN SERULING JAYA,2.39163785,102.080542
TAMAN SERULING JAYA,2.39163785,102.080542
TAMAN SERULING JAYA,2.39163785,102.080542
TAMAN SERULING JAYA,2.39163785,102.080542
TAMAN SERULING JAYA,2.39163785,102.080542
TAMAN SERULING JAYA,2.39163785,102.080542
TAMAN SERULING JAYA,2.39163785,102.080542
TAMAN SERULING JAYA,2.39163785,102.080542
TAMAN SERULING JAYA,2.39163785,102.080542
TAMAN SERULING JAYA,2.39163785,102.080542
TAMAN SERULING JAYA,2.39163785,102.080542
TAMAN SERULING JAYA,2.39163785,102.080542
TAMAN SG. BARU ILIR,2.388909971,102.0843115
TAMAN BIDARA EMAS,2.314213402,102.0929453
TAMAN BIDARA EMAS,2.314213402,102.0929453
TAMAN BIDARA EMAS,2.314213402,102.0929453
TAMAN BIDARA EMAS,2.314213402,102.0929453
TAMAN BIDARA EMAS,2.314213402,102.0929453
TAMAN BIDARA EMAS,2.314213402,102.0929453
TAMAN BIDARA EMAS,2.314213402,102.0929453
TAMAN BIDARA PALMA,2.30541355,102.0930126
TAMAN BIDARA PALMA,2.30541355,102.0930126
TAMAN BIDARA PALMA,2.30541355,102.0930126
TAMAN BIDARA PALMA,2.30541355,102.0930126
TAMAN BIDARA PERMAI,2.331166754,102.0849456
TAMAN BIDARA PERMAI,2.331166754,102.0849456
TAMAN BIDARA PERMAI,2.331166754,102.0849456
TAMAN BIDARA PERMAI,2.331166754,102.0849456
TAMAN BIDARA PERMAI,2.331166754,102.0849456
TAMAN BIDARA PERMAI,2.331166754,102.0849456
TAMAN BIDARA PERMAI,2.331166754,102.0849456
TAMAN BIDARA PERMAI,2.331166754,102.0849456
TAMAN BIDARA PERMAI,2.331166754,102.0849456
