Property Type,District,Mukim,Scheme Name/Area,"Month, Year of Transaction Date",Tenure,Land Area,Unit,Main Floor Area,Transaction Price
1 - 1 1/2 Storey Terraced,Alor Gajah,Bdr Alor Gajah,TAMAN SERI BAYU,October 2022,Leasehold,143,sq.m,85.84,200000
1 - 1 1/2 Storey Terraced,Alor Gajah,Bdr Masjid Tanah,TAMAN BKT INDAH,July 2022,Freehold,143,sq.m,76.64,173000
1 - 1 1/2 Storey Terraced,Alor Gajah,Bdr Masjid Tanah,TAMAN BKT INDAH,September 2022,Freehold,143,sq.m,77.01,210000
1 - 1 1/2 Storey Terraced,Alor Gajah,Belimbing,TAMAN BELIMBING HARMONI,October 2022,Leasehold,232,sq.m,75.72,361111
1 - 1 1/2 Storey Terraced,Alor Gajah,Belimbing,TAMAN VISTA BELIMBING,January 2022,Freehold,128,sq.m,83.61,230000
1 - 1 1/2 Storey Terraced,Alor Gajah,Durian Tunggal, TAMAN TAMBUN PERWIRA,February 2022,Freehold,201,sq.m,90.45,313840
1 - 1 1/2 Storey Terraced,Alor Gajah,Durian Tunggal, TAMAN TAMBUN PERWIRA,June 2022,Freehold,219,sq.m,90.45,325480
1 - 1 1/2 Storey Terraced,Alor Gajah,Durian Tunggal,TAMAN ANGKASA NURI,January 2022,Leasehold,111,sq.m,74.32,238000
1 - 1 1/2 Storey Terraced,Alor Gajah,Durian Tunggal,TAMAN ANGKASA NURI,February 2022,Leasehold,139,sq.m,74.32,245000
1 - 1 1/2 Storey Terraced,Alor Gajah,Durian Tunggal,TAMAN ANGKASA NURI,May 2022,Leasehold,121,sq.m,74.32,307000
1 - 1 1/2 Storey Terraced,Alor Gajah,Durian Tunggal,TAMAN ANGKASA NURI,July 2022,Freehold,253,sq.m,81.75,350000
1 - 1 1/2 Storey Terraced,Alor Gajah,Durian Tunggal,TAMAN ANGKASA NURI,July 2022,Leasehold,121,sq.m,74.32,310000
1 - 1 1/2 Storey Terraced,Alor Gajah,Durian Tunggal,TAMAN ANGKASA NURI,August 2022,Leasehold,111,sq.m,74.32,230000
1 - 1 1/2 Storey Terraced,Alor Gajah,Durian Tunggal,TAMAN ANGKASA NURI,August 2022,Leasehold,121,sq.m,74.32,314000
1 - 1 1/2 Storey Terraced,Alor Gajah,Durian Tunggal,TAMAN ANGKASA NURI,August 2022,Leasehold,121,sq.m,74.32,260000
1 - 1 1/2 Storey Terraced,Alor Gajah,Durian Tunggal,TAMAN ANGKASA NURI,October 2022,Leasehold,121,sq.m,74.32,290000
1 - 1 1/2 Storey Terraced,Alor Gajah,Durian Tunggal,TAMAN ANGKASA NURI,October 2022,Leasehold,121,sq.m,74.32,255000
1 - 1 1/2 Storey Terraced,Alor Gajah,Durian Tunggal,TAMAN ANGKASA NURI,October 2022,Leasehold,139,sq.m,74.32,240000
1 - 1 1/2 Storey Terraced,Alor Gajah,Durian Tunggal,TAMAN BELATOK EMAS,May 2022,Leasehold,139,sq.m,86.51,278000
1 - 1 1/2 Storey Terraced,Alor Gajah,Durian Tunggal,TAMAN BELATOK EMAS,November 2022,Leasehold,109,sq.m,70.41,230000
1 - 1 1/2 Storey Terraced,Alor Gajah,Durian Tunggal,TAMAN CEMPAKA,October 2022,Leasehold,255,sq.m,75.99,260000
1 - 1 1/2 Storey Terraced,Alor Gajah,Durian Tunggal,TAMAN DESA IDAMAN,March 2022,Freehold,143,sq.m,87.89,250000
1 - 1 1/2 Storey Terraced,Alor Gajah,Durian Tunggal,TAMAN DESA IDAMAN,November 2022,Freehold,143,sq.m,87.89,270000
1 - 1 1/2 Storey Terraced,Alor Gajah,Durian Tunggal,TAMAN DESA IDAMAN 3 (PPA1M),February 2022,Freehold,132,sq.m,78.26,180000
1 - 1 1/2 Storey Terraced,Alor Gajah,Durian Tunggal,TAMAN DURIAN TUNGGAL GEMILANG,February 2022,Freehold,248,sq.m,91.97,280000
1 - 1 1/2 Storey Terraced,Alor Gajah,Durian Tunggal,TAMAN KASAWARI,April 2022,Freehold,143,sq.m,71.76,265000
1 - 1 1/2 Storey Terraced,Alor Gajah,Durian Tunggal,TAMAN KASAWARI,May 2022,Freehold,130,sq.m,71.76,260000
1 - 1 1/2 Storey Terraced,Alor Gajah,Durian Tunggal,TAMAN KASAWARI,June 2022,Freehold,130,sq.m,71.76,238000
1 - 1 1/2 Storey Terraced,Alor Gajah,Durian Tunggal,TAMAN KASAWARI,October 2022,Freehold,130,sq.m,71.79,280000
1 - 1 1/2 Storey Terraced,Alor Gajah,Durian Tunggal,TAMAN KENARI JAYA (HARVEST JAYA),March 2022,Freehold,299,sq.m,78.13,380000
1 - 1 1/2 Storey Terraced,Alor Gajah,Durian Tunggal,TAMAN MERAK MAS,July 2022,Freehold,143,sq.m,73.498,220000
1 - 1 1/2 Storey Terraced,Alor Gajah,Durian Tunggal,TAMAN MURAI JAYA (MURAI EMAS),January 2022,Leasehold,143,sq.m,96.27,246000
1 - 1 1/2 Storey Terraced,Alor Gajah,Durian Tunggal,TAMAN MURAI JAYA (MURAI EMAS),February 2022,Leasehold,143,sq.m,86.51,190000
1 - 1 1/2 Storey Terraced,Alor Gajah,Durian Tunggal,TAMAN MURAI JAYA (MURAI EMAS),April 2022,Leasehold,111,sq.m,74.3,200000
1 - 1 1/2 Storey Terraced,Alor Gajah,Durian Tunggal,TAMAN MURAI JAYA (MURAI EMAS),May 2022,Leasehold,143,sq.m,86.51,230000
1 - 1 1/2 Storey Terraced,Alor Gajah,Durian Tunggal,TAMAN MURAI JAYA (MURAI EMAS),July 2022,Leasehold,109,sq.m,74.3,280000
1 - 1 1/2 Storey Terraced,Alor Gajah,Durian Tunggal,TAMAN MURAI JAYA (MURAI EMAS),September 2022,Leasehold,143,sq.m,86.51,240000
1 - 1 1/2 Storey Terraced,Alor Gajah,Durian Tunggal,TAMAN PULAU INDAH,February 2022,Freehold,143.06,sq.m,99.54,325000
1 - 1 1/2 Storey Terraced,Alor Gajah,Durian Tunggal,TAMAN RAJAWALI,January 2022,Freehold,234,sq.m,73.15,280000
1 - 1 1/2 Storey Terraced,Alor Gajah,Durian Tunggal,TAMAN RAJAWALI,May 2022,Freehold,111,sq.m,69.49,168000
1 - 1 1/2 Storey Terraced,Alor Gajah,Gadek,TAMAN GADEK PERDANA(SERI MANGGIS),May 2022,Leasehold,121,sq.m,73.15,165000
1 - 1 1/2 Storey Terraced,Alor Gajah,Gadek,TAMAN GADEK PERDANA(SERI MANGGIS),June 2022,Leasehold,121,sq.m,73.15,180000
1 - 1 1/2 Storey Terraced,Alor Gajah,Gadek,TAMAN SERI MANGGIS,June 2022,Leasehold,121,sq.m,73.15,160000
1 - 1 1/2 Storey Terraced,Alor Gajah,Gadek,TAMAN SERI MANGGIS,August 2022,Leasehold,121,sq.m,73.15,180000
1 - 1 1/2 Storey Terraced,Alor Gajah,Gadek,TAMAN SERI MANGGIS,August 2022,Leasehold,121,sq.m,73.15,160000
1 - 1 1/2 Storey Terraced,Alor Gajah,K.Linggi,TAMAN KELISA,March 2022,Freehold,121,sq.m,80.33,200000
1 - 1 1/2 Storey Terraced,Alor Gajah,K.Linggi,TAMAN KELISA,May 2022,Freehold,121,sq.m,80.33,185000
1 - 1 1/2 Storey Terraced,Alor Gajah,K.Linggi,TAMAN KELISA,June 2022,Freehold,121,sq.m,78.47,160000
1 - 1 1/2 Storey Terraced,Alor Gajah,K.Linggi,TAMAN KELISA,August 2022,Freehold,137,sq.m,80.33,190000
1 - 1 1/2 Storey Terraced,Alor Gajah,Kelemak,TAMAN AMAN,June 2022,Freehold,163.504,sq.m,105.03,150000
1 - 1 1/2 Storey Terraced,Alor Gajah,Kelemak,TAMAN KASA HEIGHTS,April 2022,Freehold,143,sq.m,127.85,260000
1 - 1 1/2 Storey Terraced,Alor Gajah,Kelemak,TAMAN KASA HEIGHTS,June 2022,Freehold,143,sq.m,127.85,320000
1 - 1 1/2 Storey Terraced,Alor Gajah,Kelemak,TAMAN KASA HEIGHTS,October 2022,Freehold,92.7,sq.m,127.85,200000
1 - 1 1/2 Storey Terraced,Alor Gajah,Kelemak,TAMAN KEBAYA (RUM AWAM PAYA DATOK F2 & 3 ),September 2022,Leasehold,189,sq.m,74.32,140000
1 - 1 1/2 Storey Terraced,Alor Gajah,Kelemak,TAMAN KEBAYA (RUM AWAM PAYA DATOK F2 & 3 ),November 2022,Leasehold,111,sq.m,74.36,200000
1 - 1 1/2 Storey Terraced,Alor Gajah,Kelemak,TAMAN KELEMAK JAYA,September 2022,Leasehold,132,sq.m,75.64,180000
1 - 1 1/2 Storey Terraced,Alor Gajah,Kelemak,TAMAN KELEMAK PERDANA,October 2022,Freehold,184,sq.m,76.36,180000
1 - 1 1/2 Storey Terraced,Alor Gajah,Kelemak,TAMAN SAMARINDA,June 2022,Freehold,143,sq.m,86.05,250000
1 - 1 1/2 Storey Terraced,Alor Gajah,Kelemak,TAMAN SAMARINDA,July 2022,Freehold,143,sq.m,86.05,275000
1 - 1 1/2 Storey Terraced,Alor Gajah,Kelemak,TAMAN SERI KELEMAK,April 2022,Leasehold,144,sq.m,77.67,185000
1 - 1 1/2 Storey Terraced,Alor Gajah,Kelemak,TAMAN SERI KELEMAK,June 2022,Leasehold,130,sq.m,74.31,220000
1 - 1 1/2 Storey Terraced,Alor Gajah,Kelemak,TAMAN SERI KELEMAK,August 2022,Leasehold,144,sq.m,77.67,125000
1 - 1 1/2 Storey Terraced,Alor Gajah,Kelemak,TAMAN SERI KELEMAK,August 2022,Leasehold,250,sq.m,74.31,300000
1 - 1 1/2 Storey Terraced,Alor Gajah,Kelemak,TAMAN SERI SUTERA (TAMAN SERI PENGKALAN),February 2022,Leasehold,102,sq.m,58.38,170000
1 - 1 1/2 Storey Terraced,Alor Gajah,Kelemak,TAMAN SERI SUTERA (TAMAN SERI PENGKALAN),November 2022,Leasehold,111,sq.m,60.81,190000
1 - 1 1/2 Storey Terraced,Alor Gajah,Kelemak,TAMAN SUTERA INDAH,May 2022,Freehold,121,sq.m,74.32,180000
1 - 1 1/2 Storey Terraced,Alor Gajah,Kelemak,TAMAN SUTERA INDAH,October 2022,Freehold,121,sq.m,74.32,220000
1 - 1 1/2 Storey Terraced,Alor Gajah,Kelemak,TAMAN SUTERA INDAH,November 2022,Freehold,125,sq.m,74.32,240000
1 - 1 1/2 Storey Terraced,Alor Gajah,Machap,TAMAN AIR PASIR PERDANA,March 2022,Leasehold,134,sq.m,78.73,200000
1 - 1 1/2 Storey Terraced,Alor Gajah,Machap,TAMAN AIR PASIR PERDANA,June 2022,Leasehold,143,sq.m,78.73,170000
1 - 1 1/2 Storey Terraced,Alor Gajah,Machap,TAMAN AIR PASIR PERDANA,July 2022,Leasehold,158,sq.m,78.73,170000
1 - 1 1/2 Storey Terraced,Alor Gajah,Machap,TAMAN MACHAP BESTARI,July 2022,Leasehold,111,sq.m,74.32,170000
1 - 1 1/2 Storey Terraced,Alor Gajah,Machap,TAMAN MACHAP BESTARI,September 2022,Leasehold,153,sq.m,84.42,190000
1 - 1 1/2 Storey Terraced,Alor Gajah,Machap,TAMAN MAWAR - MACHAP,December 2022,Leasehold,130,sq.m,70.91,200000
1 - 1 1/2 Storey Terraced,Alor Gajah,Machap,TAMAN MAWAR JAYA/PERMAI JAYA,January 2022,Leasehold,111,sq.m,63.21,180000
1 - 1 1/2 Storey Terraced,Alor Gajah,Machap,TAMAN MAWAR JAYA/PERMAI JAYA,July 2022,Leasehold,111,sq.m,63.21,160000
1 - 1 1/2 Storey Terraced,Alor Gajah,Machap,TAMAN MAWAR JAYA/PERMAI JAYA,August 2022,Leasehold,111,sq.m,68.61,175000
1 - 1 1/2 Storey Terraced,Alor Gajah,Masjid Tanah,TAMAN BDR BARU MASJID TANAH,March 2022,Leasehold,146,sq.m,75.11,260000
1 - 1 1/2 Storey Terraced,Alor Gajah,Masjid Tanah,TAMAN BKT INDAH,December 2022,Freehold,178,sq.m,79.46,250000
1 - 1 1/2 Storey Terraced,Alor Gajah,Masjid Tanah,TAMAN MASJID TANAH PERDANA,July 2022,Freehold,130,sq.m,91.07,181000
1 - 1 1/2 Storey Terraced,Alor Gajah,Masjid Tanah,TAMAN MASJID TANAH PERDANA,August 2022,Freehold,130,sq.m,91.07,181000
1 - 1 1/2 Storey Terraced,Alor Gajah,Masjid Tanah,TAMAN PERMAI,December 2022,Freehold,143,sq.m,79.34,190000
1 - 1 1/2 Storey Terraced,Alor Gajah,Masjid Tanah,TAMAN PERMAI,December 2022,Freehold,143,sq.m,81.77,215000
1 - 1 1/2 Storey Terraced,Alor Gajah,Masjid Tanah,TAMAN SERI AMAN,January 2022,Freehold,121,sq.m,72.46,165000
1 - 1 1/2 Storey Terraced,Alor Gajah,Masjid Tanah,TAMAN SERI AMAN,January 2022,Freehold,139,sq.m,58.3,200000
1 - 1 1/2 Storey Terraced,Alor Gajah,Masjid Tanah,TAMAN SERI AMAN,March 2022,Freehold,111,sq.m,56.7,110000
1 - 1 1/2 Storey Terraced,Alor Gajah,Masjid Tanah,TAMAN SERI AMAN,March 2022,Freehold,121,sq.m,72.46,195000
1 - 1 1/2 Storey Terraced,Alor Gajah,Masjid Tanah,TAMAN SERI AMAN,August 2022,Freehold,105,sq.m,56.7,165000
1 - 1 1/2 Storey Terraced,Alor Gajah,Masjid Tanah,TAMAN SERI AMAN,August 2022,Freehold,111,sq.m,56.7,210000
1 - 1 1/2 Storey Terraced,Alor Gajah,Masjid Tanah,TAMAN SERI AMAN,August 2022,Freehold,111,sq.m,57.59,180000
1 - 1 1/2 Storey Terraced,Alor Gajah,Masjid Tanah,TAMAN SERI AMAN,August 2022,Freehold,139,sq.m,58.3,200000
1 - 1 1/2 Storey Terraced,Alor Gajah,Masjid Tanah,TAMAN SERI AMAN,November 2022,Freehold,121,sq.m,56.67,165000
1 - 1 1/2 Storey Terraced,Alor Gajah,Melaka Pindah,TAMAN LESUNG BATU EMAS,May 2022,Leasehold,102,sq.m,65.03,90000
1 - 1 1/2 Storey Terraced,Alor Gajah,Melaka Pindah,TAMAN LESUNG BATU EMAS,July 2022,Leasehold,101,sq.m,65.03,92000
1 - 1 1/2 Storey Terraced,Alor Gajah,Melaka Pindah,TAMAN LESUNG BATU EMAS,July 2022,Leasehold,102,sq.m,65.03,90000
1 - 1 1/2 Storey Terraced,Alor Gajah,Melaka Pindah,TAMAN LESUNG BATU EMAS,July 2022,Leasehold,103,sq.m,65.03,92000
1 - 1 1/2 Storey Terraced,Alor Gajah,Melaka Pindah,TAMAN LESUNG BATU EMAS,July 2022,Leasehold,108,sq.m,65.03,93000
1 - 1 1/2 Storey Terraced,Alor Gajah,Melaka Pindah,TAMAN LESUNG BATU EMAS,July 2022,Leasehold,109,sq.m,65.03,94000
1 - 1 1/2 Storey Terraced,Alor Gajah,Melaka Pindah,TAMAN LESUNG BATU EMAS,July 2022,Leasehold,112,sq.m,65.03,94000
1 - 1 1/2 Storey Terraced,Alor Gajah,Melaka Pindah,TAMAN LESUNG BATU EMAS,July 2022,Leasehold,115,sq.m,65.03,95000
1 - 1 1/2 Storey Terraced,Alor Gajah,Melaka Pindah,TAMAN LESUNG BATU EMAS,July 2022,Leasehold,117,sq.m,65.03,95000
1 - 1 1/2 Storey Terraced,Alor Gajah,Melaka Pindah,TAMAN LESUNG BATU EMAS,July 2022,Leasehold,122,sq.m,65.03,96000
1 - 1 1/2 Storey Terraced,Alor Gajah,Melaka Pindah,TAMAN LESUNG BATU EMAS,July 2022,Leasehold,126,sq.m,65.03,97000
1 - 1 1/2 Storey Terraced,Alor Gajah,Melaka Pindah,TAMAN LESUNG BATU EMAS,July 2022,Leasehold,247,sq.m,65.03,127000
1 - 1 1/2 Storey Terraced,Alor Gajah,Melaka Pindah,TAMAN LESUNG BATU EMAS,August 2022,Leasehold,102,sq.m,65.03,90000
1 - 1 1/2 Storey Terraced,Alor Gajah,Melaka Pindah,TAMAN LESUNG BATU EMAS,August 2022,Leasehold,106,sq.m,65.03,93000
1 - 1 1/2 Storey Terraced,Alor Gajah,Melaka Pindah,TAMAN LESUNG BATU EMAS,August 2022,Leasehold,110,sq.m,65.03,94000
1 - 1 1/2 Storey Terraced,Alor Gajah,Melaka Pindah,TAMAN LESUNG BATU EMAS,August 2022,Leasehold,273,sq.m,65.03,132000
1 - 1 1/2 Storey Terraced,Alor Gajah,Melaka Pindah,TAMAN LESUNG BATU EMAS,September 2022,Leasehold,102,sq.m,65.03,90000
1 - 1 1/2 Storey Terraced,Alor Gajah,Melaka Pindah,TAMAN LESUNG BATU EMAS,September 2022,Leasehold,121,sq.m,65.03,96000
1 - 1 1/2 Storey Terraced,Alor Gajah,Melaka Pindah,TAMAN LESUNG BATU EMAS,September 2022,Leasehold,193,sq.m,65.03,116000
1 - 1 1/2 Storey Terraced,Alor Gajah,Melaka Pindah,TAMAN LESUNG BATU EMAS,October 2022,Leasehold,102,sq.m,65.03,90000
1 - 1 1/2 Storey Terraced,Alor Gajah,Melaka Pindah,TAMAN LESUNG BATU EMAS,October 2022,Leasehold,119,sq.m,65.03,96000
1 - 1 1/2 Storey Terraced,Alor Gajah,Melaka Pindah,TAMAN LESUNG BATU IMPIAN,January 2022,Freehold,121,sq.m,74.32,163400
1 - 1 1/2 Storey Terraced,Alor Gajah,Melaka Pindah,TAMAN LESUNG BATU IMPIAN,January 2022,Freehold,130,sq.m,92.9,225000
1 - 1 1/2 Storey Terraced,Alor Gajah,Melaka Pindah,TAMAN LESUNG BATU IMPIAN,January 2022,Freehold,181,sq.m,92.9,272700
1 - 1 1/2 Storey Terraced,Alor Gajah,Melaka Pindah,TAMAN LESUNG BATU IMPIAN,March 2022,Freehold,130,sq.m,92.9,237500
1 - 1 1/2 Storey Terraced,Alor Gajah,Melaka Pindah,TAMAN LESUNG BATU IMPIAN,March 2022,Freehold,231,sq.m,74.32,207896
1 - 1 1/2 Storey Terraced,Alor Gajah,Melaka Pindah,TAMAN LESUNG BATU IMPIAN,April 2022,Freehold,121,sq.m,74.32,173933
1 - 1 1/2 Storey Terraced,Alor Gajah,Melaka Pindah,TAMAN LESUNG BATU IMPIAN,April 2022,Freehold,121,sq.m,74.32,163400
1 - 1 1/2 Storey Terraced,Alor Gajah,Melaka Pindah,TAMAN LESUNG BATU IMPIAN,April 2022,Freehold,130,sq.m,92.9,247000
1 - 1 1/2 Storey Terraced,Alor Gajah,Melaka Pindah,TAMAN LESUNG BATU IMPIAN,May 2022,Freehold,121,sq.m,74.32,163400
1 - 1 1/2 Storey Terraced,Alor Gajah,Melaka Pindah,TAMAN LESUNG BATU IMPIAN,May 2022,Freehold,231,sq.m,74.32,207896
1 - 1 1/2 Storey Terraced,Alor Gajah,Melaka Pindah,TAMAN LESUNG BATU IMPIAN,June 2022,Freehold,168,sq.m,92.9,261000
1 - 1 1/2 Storey Terraced,Alor Gajah,Melaka Pindah,TAMAN LESUNG BATU IMPIAN,July 2022,Freehold,130,sq.m,92.9,250000
1 - 1 1/2 Storey Terraced,Alor Gajah,Melaka Pindah,TAMAN LESUNG BATU IMPIAN,July 2022,Freehold,214,sq.m,92.9,309000
1 - 1 1/2 Storey Terraced,Alor Gajah,Melaka Pindah,TAMAN LESUNG BATU IMPIAN,August 2022,Freehold,121,sq.m,74.32,163400
1 - 1 1/2 Storey Terraced,Alor Gajah,Melaka Pindah,TAMAN LESUNG BATU IMPIAN,August 2022,Freehold,130,sq.m,92.9,250000
1 - 1 1/2 Storey Terraced,Alor Gajah,Melaka Pindah,TAMAN LESUNG BATU IMPIAN,August 2022,Freehold,130,sq.m,92.9,225000
1 - 1 1/2 Storey Terraced,Alor Gajah,Melaka Pindah,TAMAN LESUNG BATU IMPIAN,September 2022,Freehold,130,sq.m,92.9,250000
1 - 1 1/2 Storey Terraced,Alor Gajah,Melaka Pindah,TAMAN LESUNG BATU IMPIAN,September 2022,Freehold,130,sq.m,92.9,237500
1 - 1 1/2 Storey Terraced,Alor Gajah,Melaka Pindah,TAMAN LESUNG BATU IMPIAN,September 2022,Freehold,130,sq.m,92.9,225000
1 - 1 1/2 Storey Terraced,Alor Gajah,Melaka Pindah,TAMAN LESUNG BATU IMPIAN,October 2022,Freehold,130,sq.m,92.9,250000
1 - 1 1/2 Storey Terraced,Alor Gajah,Melaka Pindah,TAMAN LESUNG BATU IMPIAN,October 2022,Freehold,130,sq.m,92.9,237500
1 - 1 1/2 Storey Terraced,Alor Gajah,Melaka Pindah,TAMAN LESUNG BATU IMPIAN,November 2022,Freehold,121,sq.m,74.32,163400
1 - 1 1/2 Storey Terraced,Alor Gajah,Melaka Pindah,TAMAN LESUNG BATU IMPIAN,December 2022,Freehold,130,sq.m,92.9,250000
1 - 1 1/2 Storey Terraced,Alor Gajah,Melaka Pindah,TAMAN LESUNG BATU IMPIAN,December 2022,Freehold,130,sq.m,92.9,237500
1 - 1 1/2 Storey Terraced,Alor Gajah,Melaka Pindah,TAMAN LESUNG BATU IMPIAN,December 2022,Freehold,130,sq.m,92.9,225000
1 - 1 1/2 Storey Terraced,Alor Gajah,Melaka Pindah,TAMAN MELAKA PERDANA,August 2022,Freehold,111,sq.m,74.32,228000
1 - 1 1/2 Storey Terraced,Alor Gajah,Melaka Pindah,TAMAN PENGKALAN INDAH,June 2022,Freehold,111,sq.m,61.13,155000
1 - 1 1/2 Storey Terraced,Alor Gajah,Melaka Pindah,TAMAN PENGKALAN INDAH,July 2022,Freehold,330,sq.m,74.6,320000
1 - 1 1/2 Storey Terraced,Alor Gajah,Melaka Pindah,TAMAN PENGKALAN INDAH,September 2022,Freehold,111,sq.m,61.13,190000
1 - 1 1/2 Storey Terraced,Alor Gajah,Pegoh,TAMAN PEGOH DAMAI,November 2022,Freehold,132.9,sq.m,89.94,221400
1 - 1 1/2 Storey Terraced,Alor Gajah,Pegoh,TAMAN PEGOH DAMAI,November 2022,Freehold,143.1,sq.m,89.94,238500
1 - 1 1/2 Storey Terraced,Alor Gajah,Pegoh,TAMAN PEGOH DAMAI,November 2022,Freehold,210,sq.m,89.94,277200
1 - 1 1/2 Storey Terraced,Alor Gajah,Pegoh,TAMAN PEGOH DAMAI,November 2022,Freehold,288.7,sq.m,89.94,317700
1 - 1 1/2 Storey Terraced,Alor Gajah,Pegoh,TAMAN PEGOH DAMAI,December 2022,Freehold,143,sq.m,89.94,238500
1 - 1 1/2 Storey Terraced,Alor Gajah,Pegoh,TAMAN PEGOH DAMAI,December 2022,Freehold,143.1,sq.m,89.94,247500
1 - 1 1/2 Storey Terraced,Alor Gajah,Pegoh,TAMAN PEGOH DAMAI,December 2022,Freehold,143.1,sq.m,89.94,238500
1 - 1 1/2 Storey Terraced,Alor Gajah,Pkn Durian Tunggal,TAMAN DESA IDAMAN,July 2022,Freehold,130,sq.m,71.83,160000
1 - 1 1/2 Storey Terraced,Alor Gajah,Pkn Durian Tunggal,TAMAN DESA IDAMAN,December 2022,Freehold,130,sq.m,71.83,250000
1 - 1 1/2 Storey Terraced,Alor Gajah,Pkn Lubok China,TAMAN WIRA INDAH,June 2022,Leasehold,192,sq.m,65.84,350000
1 - 1 1/2 Storey Terraced,Alor Gajah,Pulau Sebang,RESIDENSI PR1MA PULAU SEBANG,January 2022,Leasehold,133,sq.m,89.5,223200
1 - 1 1/2 Storey Terraced,Alor Gajah,Pulau Sebang,RESIDENSI PR1MA PULAU SEBANG,January 2022,Leasehold,133,sq.m,89.5,163800
1 - 1 1/2 Storey Terraced,Alor Gajah,Pulau Sebang,RESIDENSI PR1MA PULAU SEBANG,January 2022,Leasehold,256,sq.m,89.59,206100
1 - 1 1/2 Storey Terraced,Alor Gajah,Pulau Sebang,RESIDENSI PR1MA PULAU SEBANG,February 2022,Leasehold,133,sq.m,89.5,163800
1 - 1 1/2 Storey Terraced,Alor Gajah,Pulau Sebang,RESIDENSI PR1MA PULAU SEBANG,March 2022,Leasehold,133,sq.m,89.5,163800
1 - 1 1/2 Storey Terraced,Alor Gajah,Pulau Sebang,RESIDENSI PR1MA PULAU SEBANG,April 2022,Leasehold,133,sq.m,89.5,163800
1 - 1 1/2 Storey Terraced,Alor Gajah,Pulau Sebang,RESIDENSI PR1MA PULAU SEBANG,May 2022,Leasehold,133,sq.m,89.5,163800
1 - 1 1/2 Storey Terraced,Alor Gajah,Pulau Sebang,RESIDENSI PR1MA PULAU SEBANG,May 2022,Leasehold,219,sq.m,89.5,198000
1 - 1 1/2 Storey Terraced,Alor Gajah,Pulau Sebang,RESIDENSI PR1MA PULAU SEBANG,May 2022,Leasehold,234,sq.m,89.5,207900
1 - 1 1/2 Storey Terraced,Alor Gajah,Pulau Sebang,RESIDENSI PR1MA PULAU SEBANG,June 2022,Leasehold,133,sq.m,89.5,163800
1 - 1 1/2 Storey Terraced,Alor Gajah,Pulau Sebang,RESIDENSI PR1MA PULAU SEBANG,August 2022,Leasehold,133,sq.m,89.5,163800
1 - 1 1/2 Storey Terraced,Alor Gajah,Pulau Sebang,RESIDENSI PR1MA PULAU SEBANG,August 2022,Leasehold,179,sq.m,89.5,188100
1 - 1 1/2 Storey Terraced,Alor Gajah,Pulau Sebang,RESIDENSI PR1MA PULAU SEBANG,September 2022,Leasehold,133,sq.m,89.5,163800
1 - 1 1/2 Storey Terraced,Alor Gajah,Pulau Sebang,RESIDENSI PR1MA PULAU SEBANG,October 2022,Leasehold,133,sq.m,89.5,163800
1 - 1 1/2 Storey Terraced,Alor Gajah,Pulau Sebang,TAMAN BAIDURI,May 2022,Leasehold,250,sq.m,73.48,270000
1 - 1 1/2 Storey Terraced,Alor Gajah,Pulau Sebang,TAMAN BAIDURI,August 2022,Leasehold,121,sq.m,61.69,135000
1 - 1 1/2 Storey Terraced,Alor Gajah,Pulau Sebang,TAMAN BAIDURI,September 2022,Leasehold,102,sq.m,57.18,130000
1 - 1 1/2 Storey Terraced,Alor Gajah,Pulau Sebang,TAMAN BAIDURI,October 2022,Leasehold,130,sq.m,73.48,140000
1 - 1 1/2 Storey Terraced,Alor Gajah,Pulau Sebang,TAMAN BAIDURI,December 2022,Leasehold,102,sq.m,57.18,180000
1 - 1 1/2 Storey Terraced,Alor Gajah,Pulau Sebang,TAMAN BKT TAMPIN,September 2022,Freehold,143,sq.m,102.19,230000
1 - 1 1/2 Storey Terraced,Alor Gajah,Pulau Sebang,TAMAN BKT TAMPIN,November 2022,Freehold,143,sq.m,102.19,195000
1 - 1 1/2 Storey Terraced,Alor Gajah,Pulau Sebang,TAMAN MAHSURI PULAU SEBANG,May 2022,Leasehold,130,sq.m,79.9,170000
1 - 1 1/2 Storey Terraced,Alor Gajah,Pulau Sebang,TAMAN PINGGIRAN KUALA INA,January 2022,Freehold,143,sq.m,102.2,314160
1 - 1 1/2 Storey Terraced,Alor Gajah,Pulau Sebang,TAMAN PINGGIRAN KUALA INA,January 2022,Freehold,295,sq.m,102.2,439327
1 - 1 1/2 Storey Terraced,Alor Gajah,Pulau Sebang,TAMAN PINGGIRAN KUALA INA,February 2022,Freehold,143,sq.m,102.2,351120
1 - 1 1/2 Storey Terraced,Alor Gajah,Pulau Sebang,TAMAN PINGGIRAN KUALA INA,March 2022,Freehold,143,sq.m,102.2,314160
1 - 1 1/2 Storey Terraced,Alor Gajah,Pulau Sebang,TAMAN PINGGIRAN KUALA INA,April 2022,Freehold,143,sq.m,102.2,351120
1 - 1 1/2 Storey Terraced,Alor Gajah,Pulau Sebang,TAMAN PINGGIRAN KUALA INA,May 2022,Freehold,143,sq.m,102.2,351120
1 - 1 1/2 Storey Terraced,Alor Gajah,Pulau Sebang,TAMAN PINGGIRAN KUALA INA,May 2022,Freehold,143,sq.m,102.2,314160
1 - 1 1/2 Storey Terraced,Alor Gajah,Pulau Sebang,TAMAN PINGGIRAN KUALA INA,June 2022,Freehold,143,sq.m,102.2,351120
